artist,key,count,path
Adele,0,1,1
Adele,2,1,1
Adele,5,1.00E+00,1
Adele,8,2,1
Adele,9,1,1
Billie Eilish,0,1,1
Billie Eilish,4,1,1
Billie Eilish,6,1.00E+00,1
Billie Eilish,7,2,1
Billie Eilish,11,1,1
Bruno Mars,0,1,1
Bruno Mars,1,1,1
Bruno Mars,2,2,1
Bruno Mars,5,2,1
Bruno Mars,8,1,1
Ed Sheeran,1,2,1
Ed Sheeran,2,3,1
Ed Sheeran,4,1,1
Ed Sheeran,5,1,1
Ed Sheeran,8,1,1
Ed Sheeran,11,1,1
Mariah Carey,0,7,1
Mariah Carey,1,1.00E+00,1
Mariah Carey,3,1,1
Mariah Carey,5,2,1
Mariah Carey,7,3,1
Mariah Carey,8,1,1
Taylor Swift,2,2,1
Taylor Swift,3,1,1
Taylor Swift,5,1,1
Taylor Swift,6,3,1
Taylor Swift,7,1,1
Taylor Swift,8,1,1
Taylor Swift,9,1,1
Taylor Swift,10,2,1
Adele,0,1,49
Adele,2,1,49
Adele,5,1.00E+00,49
Adele,8,2,49
Adele,9,1,49
Billie Eilish,0,1,49
Billie Eilish,4,1,49
Billie Eilish,6,1.00E+00,49
Billie Eilish,7,2,49
Billie Eilish,11,1,49
Bruno Mars,0,1,49
Bruno Mars,1,1,49
Bruno Mars,2,2,49
Bruno Mars,5,2,49
Bruno Mars,8,1,49
Ed Sheeran,1,2,49
Ed Sheeran,2,3,49
Ed Sheeran,4,1,49
Ed Sheeran,5,1,49
Ed Sheeran,8,1,49
Ed Sheeran,11,1,49
Mariah Carey,0,7,49
Mariah Carey,1,1.00E+00,49
Mariah Carey,3,1,49
Mariah Carey,5,2,49
Mariah Carey,7,3,49
Mariah Carey,8,1,49
Taylor Swift,2,2,49
Taylor Swift,3,1,49
Taylor Swift,5,1,49
Taylor Swift,6,3,49
Taylor Swift,7,1,49
Taylor Swift,8,1,49
Taylor Swift,9,1,49
Taylor Swift,10,2,49